Price,Close,High,Low,Open,Volume,Daily_Return,MA_7,Volatility
Ticker,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,,,
Date,,,,,,,,
2020-01-01,130.802001953125,132.83535766601562,129.1982879638672,129.6306610107422,7935230330,,,
2020-01-02,127.4101791381836,130.82003784179688,126.95491027832031,130.82003784179688,8032709256,-0.025930970201487602,,
2020-01-03,134.1717071533203,134.55401611328125,126.49002075195312,127.41126251220703,10476845358,0.053068978168561154,,
2020-01-04,135.06936645507812,136.05271911621094,133.04055786132812,134.16851806640625,7430904515,0.0066903769863495555,,
2020-01-05,136.2767791748047,139.4102020263672,135.04562377929688,135.0720977783203,7526675353,0.008939204731726713,,
2020-01-06,144.3041534423828,144.32818603515625,136.0796356201172,136.3055419921875,9093747121,0.05890493095145177,,
2020-01-07,143.5439910888672,145.00177001953125,140.48887634277344,144.31199645996094,9257954672,-0.005267778753292318,135.93973977225167,
2020-01-08,141.2581329345703,146.8280029296875,138.26820373535156,143.48782348632812,9387194957,-0.015924443349786155,137.433472769601,0.03275981670321542
2020-01-09,138.9792022705078,141.39398193359375,136.2364044189453,141.15577697753906,7697325348,-0.016133093484380745,139.08619035993303,0.03105931144483555
2020-01-10,143.96377563476562,144.16732788085938,135.52040100097656,138.967041015625,9084816203,0.03586560638444225,140.4850572858538,0.027867455724392153
2020-01-11,142.92710876464844,146.4809112548828,142.2079620361328,143.4091033935547,9332208590,-0.007200886928300676,141.6075919015067,0.02866218292673068
2020-01-12,145.87393188476562,146.14585876464844,142.7076416015625,143.0325469970703,8528167453,0.0206176641057616,142.9786137172154,0.029032572008076688
2020-01-13,144.22659301757812,146.79122924804688,142.90713500976562,146.2201385498047,8378529470,-0.01129289411687917,142.967533656529,0.020134394705041785
2020-01-14,165.95535278320312,167.68154907226562,144.06492614746094,144.2510528564453,16712318373,0.15065709666300386,146.16915675571985,0.05999911337713154
2020-01-15,166.23068237304688,170.42567443847656,161.109619140625,165.734619140625,15173694057,0.0016590582058744197,149.73666381835938,0.0584774552388106
2020-01-16,164.39100646972656,167.0581512451172,159.7096405029297,166.33282470703125,13735193018,-0.01106700566380281,153.3669215611049,0.05791388056969704
2020-01-17,170.7799530029297,173.0692138671875,162.77560424804688,164.4893798828125,14997091826,0.038864331269726105,157.1978040422712,0.05801342870277369
2020-01-18,175.3656768798828,178.52877807617188,166.7890167236328,170.7477264404297,14929342256,0.02685165206055795,161.8318852015904,0.05616020368403296
2020-01-19,166.9698486328125,177.2476348876953,163.67686462402344,175.46759033203125,13713374132,-0.047876120324395366,164.84558759416853,0.06370945008174632
2020-01-20,167.12051391601562,169.11488342285156,162.33160400390625,166.9041290283203,11144529787,0.0009023502412968121,168.11614772251673,0.0628363329765527
2020-01-21,169.69715881347656,169.9101104736328,165.81971740722656,167.0604705810547,9789369362,0.01541788519604359,168.65069144112724,0.028283690027229545
2020-01-22,168.29415893554688,171.00869750976562,166.77423095703125,169.60853576660156,9209827928,-0.008267668638293424,168.94547380719865,0.028640093432641643
2020-01-23,162.92855834960938,168.31224060058594,160.29531860351562,168.2957000732422,10396868698,-0.03188227458323378,168.73655264718192,0.031203109073204883
2020-01-24,163.05117797851562,164.3094482421875,156.74974060058594,162.8993682861328,10657671162,0.0007525975197246737,167.6324419294085,0.026010285869571832
2020-01-25,161.283935546875,163.22723388671875,158.63247680664062,163.06729125976562,8256956802,-0.01083857506306074,165.62076459612166,0.021516750383468463
2020-01-26,168.0771026611328,168.22032165527344,160.2811279296875,161.17681884765625,9261861590,0.04211930401638453,165.77894374302454,0.02311500914345173
2020-01-27,170.93089294433594,172.92291259765625,166.90109252929688,168.00885009765625,11004476145,0.016979054481661038,166.32328360421317,0.02387010327119493
2020-01-28,176.3703155517578,176.3703155517578,170.73806762695312,170.88485717773438,11772875064,0.03182234945202822,167.27659170968192,0.025953151118798208
2020-01-29,175.0503387451172,178.8429718017578,175.0503387451172,176.34788513183594,10725267311,-0.007484121137455557,168.24176025390625,0.02588390170038659
2020-01-30,184.6904754638672,186.26048278808594,172.3746337890625,174.91770935058594,12604789338,0.05507065446349446,171.35060555594308,0.025579331351256892
2020-01-31,180.16017150878906,185.4058380126953,176.29681396484375,184.73690795898438,11728616394,-0.02452916937757532,173.79474748883928,0.02989774377631203
2020-02-01,183.6739501953125,183.84555053710938,179.74517822265625,180.11376953125,11569697182,0.019503637552609865,176.99332101004464,0.027690277952896854
2020-02-02,188.61753845214844,193.0803985595703,180.1739501953125,183.53250122070312,14054425389,0.026915021164291897,179.92766898018974,0.026133384040805757
2020-02-03,189.8650665283203,193.4368896484375,188.0126953125,188.60740661621094,12392875241,0.006614061907548319,182.63255092075892,0.026420012649281926
2020-02-04,189.25059509277344,191.1114959716797,185.40362548828125,189.86172485351562,11714191695,-0.00323635857181348,184.47259085518974,0.02611277261926925
2020-02-05,204.23023986816406,206.8040008544922,188.752685546875,189.29910278320312,14865434435,0.07915243155799523,188.64114815848214,0.03517744590010377
2020-02-06,212.33908081054688,214.59771728515625,201.90406799316406,204.12969970703125,16425589683,0.03970440884570903,192.59094892229353,0.033253738487059176
2020-02-07,222.72605895996094,223.14093017578125,212.30419921875,212.31588745117188,16673443564,0.04891694034731886,198.67178998674666,0.027782036578460314
